"Country or Area"|"Year"|"Commodity"|"Flow"|"Trade (USD)"|"Weight (kg)"|"Quantity Name"|"Quantity"
"Uruguay"|"1999"|"Turmeric (curcuma)"|"Import"|"6549"|"3000"|"Weight in kilograms"|"3000"
"Uruguay"|"1999"|"Thyme and bay leaves"|"Import"|"12323"|"4029"|"Weight in kilograms"|"4029"
"Uruguay"|"1999"|"Curry"|"Import"|"8627"|"2385"|"Weight in kilograms"|"2385"
"Uruguay"|"1999"|"Mixtures of spices"|"Import"|"18385"|"7171"|"Weight in kilograms"|"7171"
"Uruguay"|"1999"|"Spices nes"|"Import"|"9611"|"3616"|"Weight in kilograms"|"3616"
"Uruguay"|"1998"|"Coffee, not roasted, not decaffeinated"|"Import"|"4672127"|"2101940"|"Weight in kilograms"|"2101940"
"Uruguay"|"1998"|"Coffee, roasted, not decaffeinated"|"Import"|"315101"|"56834"|"Weight in kilograms"|"56834"
"Uruguay"|"1998"|"Coffee, roasted, decaffeinated"|"Import"|"66334"|"11865"|"Weight in kilograms"|"11865"
"Uruguay"|"1998"|"Tea, green (unfermented) in packages < 3 kg"|"Import"|"1599"|"324"|"Weight in kilograms"|"324"
"Uruguay"|"1998"|"Tea, black (fermented or partly) in packages < 3 kg"|"Import"|"540061"|"94981"|"Weight in kilograms"|"94981"
"Uruguay"|"1998"|"Tea, black (fermented or partly) in packages < 3 kg"|"Export"|"1722"|"60"|"Weight in kilograms"|"60"
"Uruguay"|"1998"|"Tea, black (fermented or partly) in packages > 3 kg"|"Import"|"1144024"|"518574"|"Weight in kilograms"|"518574"
"Uruguay"|"1998"|"Mate"|"Import"|"31173692"|"25605144"|"Weight in kilograms"|"25605144"
"Uruguay"|"1998"|"Mate"|"Export"|"603383"|"316321"|"Weight in kilograms"|"316321"
"Uruguay"|"1998"|"Pepper of the genus Piper, whole"|"Import"|"618351"|"96439"|"Weight in kilograms"|"96439"
"Uruguay"|"1998"|"Pepper of the genus Piper, crushed or ground"|"Import"|"12810"|"1196"|"Weight in kilograms"|"1196"
"Uruguay"|"1998"|"Capsicum or Pimenta, dried, crushed or ground"|"Import"|"444028"|"228865"|"Weight in kilograms"|"228865"
"Uruguay"|"1998"|"Capsicum or Pimenta, dried, crushed or ground"|"Export"|"545"|"28"|"Weight in kilograms"|"28"
"Uruguay"|"1998"|"Vanilla beans"|"Import"|"6581"|"97"|"Weight in kilograms"|"97"
"Uruguay"|"1998"|"Cinnamon and cinnamon-tree flowers whole"|"Import"|"20162"|"12076"|"Weight in kilograms"|"12076"
"Uruguay"|"1998"|"Cinnamon and cinnamon-tree flowers crushed or ground"|"Import"|"9038"|"3568"|"Weight in kilograms"|"3568"
"Uruguay"|"1998"|"Cloves (whole fruit, cloves and stems)"|"Import"|"9225"|"5517"|"Weight in kilograms"|"5517"
"Uruguay"|"1998"|"Nutmeg"|"Import"|"129005"|"27029"|"Weight in kilograms"|"27029"
"Uruguay"|"1998"|"Cardamoms"|"Import"|"806"|"4"|"Weight in kilograms"|"4"
"Uruguay"|"1998"|"Anise or badian seeds"|"Import"|"80892"|"23934"|"Weight in kilograms"|"23934"
"Uruguay"|"1998"|"Coriander seeds"|"Import"|"7371"|"7022"|"Weight in kilograms"|"7022"
"Uruguay"|"1998"|"Cumin seeds"|"Import"|"20444"|"8336"|"Weight in kilograms"|"8336"
"Uruguay"|"1998"|"Fennel seeds, juniper berries"|"Import"|"14403"|"12530"|"Weight in kilograms"|"12530"
"Uruguay"|"1998"|"Ginger"|"Import"|"7741"|"7374"|"Weight in kilograms"|"7374"
"Uruguay"|"1998"|"Saffron"|"Import"|"39162"|"820"|"Weight in kilograms"|"820"
"Uruguay"|"1998"|"Saffron"|"Export"|"329"|"1"|"Weight in kilograms"|"1"
"Uruguay"|"1998"|"Turmeric (curcuma)"|"Import"|"424"|"156"|"Weight in kilograms"|"156"
"Uruguay"|"1998"|"Thyme and bay leaves"|"Import"|"9594"|"2559"|"Weight in kilograms"|"2559"
"Uruguay"|"1998"|"Curry"|"Import"|"9396"|"719"|"Weight in kilograms"|"719"
"Uruguay"|"1998"|"Mixtures of spices"|"Import"|"8492"|"405"|"Weight in kilograms"|"405"
"Uruguay"|"1998"|"Spices nes"|"Import"|"10649"|"672"|"Weight in kilograms"|"672"
"Uruguay"|"1998"|"Spices nes"|"Export"|"2531"|"105"|"Weight in kilograms"|"105"
"Uruguay"|"1997"|"Coffee, not roasted, not decaffeinated"|"Import"|"4664154"|"1863000"|"Weight in kilograms"|"1863000"
"Uruguay"|"1997"|"Coffee, roasted, not decaffeinated"|"Import"|"367002"|"65466"|"Weight in kilograms"|"65466"
"Uruguay"|"1997"|"Coffee, roasted, not decaffeinated"|"Export"|"7676"|"343"|"Weight in kilograms"|"343"
"Uruguay"|"1997"|"Coffee, roasted, decaffeinated"|"Import"|"70914"|"11476"|"Weight in kilograms"|"11476"
"Uruguay"|"1997"|"Tea, green (unfermented) in packages < 3 kg"|"Import"|"15757"|"2023"|"Weight in kilograms"|"2023"
"Uruguay"|"1997"|"Tea, black (fermented or partly) in packages < 3 kg"|"Import"|"573811"|"101034"|"Weight in kilograms"|"101034"
"Uruguay"|"1997"|"Tea, black (fermented or partly) in packages < 3 kg"|"Export"|"1929"|"78"|"Weight in kilograms"|"78"
"Uruguay"|"1997"|"Tea, black (fermented or partly) in packages > 3 kg"|"Import"|"1098705"|"536517"|"Weight in kilograms"|"536517"
"Uruguay"|"1997"|"Mate"|"Import"|"31610228"|"25221456"|"Weight in kilograms"|"25221456"
"Uruguay"|"1997"|"Mate"|"Export"|"544368"|"279312"|"Weight in kilograms"|"279312"
"Uruguay"|"1997"|"Pepper of the genus Piper, whole"|"Import"|"647765"|"109772"|"Weight in kilograms"|"109772"
"Uruguay"|"1997"|"Pepper of the genus Piper, crushed or ground"|"Import"|"16831"|"1274"|"Weight in kilograms"|"1274"
"Uruguay"|"1997"|"Capsicum or Pimenta, dried, crushed or ground"|"Import"|"482737"|"227467"|"Weight in kilograms"|"227467"
"Uruguay"|"1997"|"Capsicum or Pimenta, dried, crushed or ground"|"Export"|"618"|"62"|"Weight in kilograms"|"62"
"Uruguay"|"1997"|"Vanilla beans"|"Import"|"4914"|"133"|"Weight in kilograms"|"133"
"Uruguay"|"1997"|"Cinnamon and cinnamon-tree flowers whole"|"Import"|"39572"|"13951"|"Weight in kilograms"|"13951"
"Uruguay"|"1997"|"Cinnamon and cinnamon-tree flowers crushed or ground"|"Import"|"4708"|"1538"|"Weight in kilograms"|"1538"
"Uruguay"|"1997"|"Cinnamon and cinnamon-tree flowers crushed or ground"|"Export"|"353"|"31"|"Weight in kilograms"|"31"
"Uruguay"|"1997"|"Cloves (whole fruit, cloves and stems)"|"Import"|"8315"|"6030"|"Weight in kilograms"|"6030"
"Uruguay"|"1997"|"Nutmeg"|"Import"|"63615"|"21733"|"Weight in kilograms"|"21733"
"Uruguay"|"1997"|"Anise or badian seeds"|"Import"|"23427"|"10697"|"Weight in kilograms"|"10697"
"Uruguay"|"1997"|"Anise or badian seeds"|"Export"|"159"|"18"|"Weight in kilograms"|"18"
"Uruguay"|"1997"|"Coriander seeds"|"Import"|"32101"|"23704"|"Weight in kilograms"|"23704"
"Uruguay"|"1997"|"Cumin seeds"|"Import"|"1823"|"560"|"Weight in kilograms"|"560"
"Uruguay"|"1997"|"Fennel seeds, juniper berries"|"Import"|"20860"|"13895"|"Weight in kilograms"|"13895"
"Uruguay"|"1997"|"Ginger"|"Import"|"9984"|"6433"|"Weight in kilograms"|"6433"
"Uruguay"|"1997"|"Saffron"|"Import"|"36248"|"506"|"Weight in kilograms"|"506"
"Uruguay"|"1997"|"Turmeric (curcuma)"|"Import"|"9266"|"3776"|"Weight in kilograms"|"3776"
"Uruguay"|"1997"|"Thyme and bay leaves"|"Import"|"1926"|"514"|"Weight in kilograms"|"514"
"Uruguay"|"1997"|"Curry"|"Import"|"9468"|"1844"|"Weight in kilograms"|"1844"
"Uruguay"|"1997"|"Mixtures of spices"|"Import"|"3873"|"590"|"Weight in kilograms"|"590"
"Uruguay"|"1997"|"Mixtures of spices"|"Export"|"1157"|"50"|"Weight in kilograms"|"50"
"Uruguay"|"1997"|"Spices nes"|"Import"|"10182"|"2107"|"Weight in kilograms"|"2107"
"Uruguay"|"1997"|"Spices nes"|"Export"|"4519"|"278"|"Weight in kilograms"|"278"
"Uruguay"|"1996"|"Coffee, not roasted, not decaffeinated"|"Import"|"4773543"|"1980283"|"Weight in kilograms"|"1980283"
"Uruguay"|"1996"|"Coffee, not roasted, not decaffeinated"|"Export"|"28287"|"2125"|"Weight in kilograms"|"2125"
"Uruguay"|"1996"|"Coffee, not roasted, decaffeinated"|"Import"|"492"|"66"|"Weight in kilograms"|"66"
"Uruguay"|"1996"|"Coffee, roasted, not decaffeinated"|"Import"|"193057"|"41112"|"Weight in kilograms"|"41112"
"Uruguay"|"1996"|"Coffee, roasted, decaffeinated"|"Import"|"66559"|"13559"|"Weight in kilograms"|"13559"
"Uruguay"|"1996"|"Coffee husks and skins"|"Import"|"424"|"66"|"Weight in kilograms"|"66"
"Uruguay"|"1996"|"Coffee substitutes containing coffee"|"Import"|"375"|"60"|"Weight in kilograms"|"60"
"Uruguay"|"1996"|"Tea, green (unfermented) in packages < 3 kg"|"Import"|"1022"|"89"|"Weight in kilograms"|"89"
"Uruguay"|"1996"|"Tea, black (fermented or partly) in packages < 3 kg"|"Import"|"559168"|"137859"|"Weight in kilograms"|"137859"
"Uruguay"|"1996"|"Tea, black (fermented or partly) in packages > 3 kg"|"Import"|"1045365"|"543594"|"Weight in kilograms"|"543594"
"Uruguay"|"1996"|"Mate"|"Import"|"34286448"|"25304020"|"Weight in kilograms"|"25304020"
"Uruguay"|"1996"|"Mate"|"Export"|"587429"|"323612"|"Weight in kilograms"|"323612"
"Uruguay"|"1996"|"Pepper of the genus Piper, whole"|"Import"|"210688"|"78624"|"Weight in kilograms"|"78624"
"Uruguay"|"1996"|"Pepper of the genus Piper, crushed or ground"|"Import"|"5122"|"556"|"Weight in kilograms"|"556"
"Uruguay"|"1996"|"Capsicum or Pimenta, dried, crushed or ground"|"Import"|"524702"|"231778"|"Weight in kilograms"|"231778"
"Uruguay"|"1996"|"Capsicum or Pimenta, dried, crushed or ground"|"Export"|"987"|"74"|"Weight in kilograms"|"74"
"Uruguay"|"1996"|"Vanilla beans"|"Import"|"4513"|"146"|"Weight in kilograms"|"146"
"Uruguay"|"1996"|"Cinnamon and cinnamon-tree flowers whole"|"Import"|"34115"|"11004"|"Weight in kilograms"|"11004"
"Uruguay"|"1996"|"Cinnamon and cinnamon-tree flowers crushed or ground"|"Import"|"3531"|"1377"|"Weight in kilograms"|"1377"
"Uruguay"|"1996"|"Cloves (whole fruit, cloves and stems)"|"Import"|"8138"|"5550"|"Weight in kilograms"|"5550"
"Uruguay"|"1996"|"Nutmeg"|"Import"|"77370"|"29514"|"Weight in kilograms"|"29514"
"Uruguay"|"1996"|"Cardamoms"|"Import"|"6366"|"503"|"Weight in kilograms"|"503"
"Uruguay"|"1996"|"Anise or badian seeds"|"Import"|"27886"|"11077"|"Weight in kilograms"|"11077"
"Uruguay"|"1996"|"Coriander seeds"|"Import"|"7696"|"9062"|"Weight in kilograms"|"9062"
"Uruguay"|"1996"|"Cumin seeds"|"Import"|"23474"|"9886"|"Weight in kilograms"|"9886"
"Uruguay"|"1996"|"Fennel seeds, juniper berries"|"Import"|"8503"|"5322"|"Weight in kilograms"|"5322"
"Uruguay"|"1996"|"Ginger"|"Import"|"14525"|"11154"|"Weight in kilograms"|"11154"
"Uruguay"|"1996"|"Saffron"|"Import"|"31084"|"696"|"Weight in kilograms"|"696"
"Uruguay"|"1996"|"Saffron"|"Export"|"989"|"7"|"Weight in kilograms"|"7"
"Uruguay"|"1996"|"Turmeric (curcuma)"|"Import"|"4017"|"2510"|"Weight in kilograms"|"2510"
"Uruguay"|"1996"|"Thyme and bay leaves"|"Import"|"7214"|"3113"|"Weight in kilograms"|"3113"
"Uruguay"|"1996"|"Curry"|"Import"|"11405"|"2334"|"Weight in kilograms"|"2334"
"Uruguay"|"1996"|"Mixtures of spices"|"Import"|"4836"|"338"|"Weight in kilograms"|"338"
"Uruguay"|"1996"|"Spices nes"|"Import"|"21077"|"7658"|"Weight in kilograms"|"7658"
"Uruguay"|"1996"|"Spices nes"|"Export"|"19695"|"1159"|"Weight in kilograms"|"1159"
"Uruguay"|"1995"|"Coffee, not roasted, not decaffeinated"|"Import"|"6050000"|"1969112"|"Weight in kilograms"|"1969112"
"Uruguay"|"1995"|"Coffee, roasted, not decaffeinated"|"Import"|"138000"|"25061"|"Weight in kilograms"|"25061"
"Uruguay"|"1995"|"Coffee, roasted, decaffeinated"|"Import"|"54000"|"10000"|"Weight in kilograms"|"10000"
"Uruguay"|"1995"|"Coffee substitutes containing coffee"|"Import"|"19000"|"3437"|"Weight in kilograms"|"3437"
"Uruguay"|"1995"|"Tea, green (unfermented) in packages < 3 kg"|"Import"|"2000"|"398"|"Weight in kilograms"|"398"
"Uruguay"|"1995"|"Tea, black (fermented or partly) in packages < 3 kg"|"Import"|"492000"|"77974"|"Weight in kilograms"|"77974"
"Uruguay"|"1995"|"Tea, black (fermented or partly) in packages > 3 kg"|"Import"|"1138000"|"689415"|"Weight in kilograms"|"689415"
"Uruguay"|"1995"|"Mate"|"Import"|"33836000"|"23747132"|"Weight in kilograms"|"23747132"
"Uruguay"|"1995"|"Mate"|"Export"|"491364"|"262541"|"Weight in kilograms"|"262541"
"Uruguay"|"1995"|"Pepper of the genus Piper, whole"|"Import"|"502000"|"153772"|"Weight in kilograms"|"153772"
"Uruguay"|"1995"|"Pepper of the genus Piper, crushed or ground"|"Import"|"8000"|"7562"|"Weight in kilograms"|"7562"
"Uruguay"|"1995"|"Pepper of the genus Piper, crushed or ground"|"Export"|"933"|"37"|"Weight in kilograms"|"37"
"Uruguay"|"1995"|"Capsicum or Pimenta, dried, crushed or ground"|"Import"|"455000"|"244362"|"Weight in kilograms"|"244362"
"Uruguay"|"1995"|"Capsicum or Pimenta, dried, crushed or ground"|"Export"|"984"|"47"|"Weight in kilograms"|"47"
"Uruguay"|"1995"|"Vanilla beans"|"Import"|"11000"|"110"|"Weight in kilograms"|"110"
"Uruguay"|"1995"|"Cinnamon and cinnamon-tree flowers whole"|"Import"|"47000"|"16937"|"Weight in kilograms"|"16937"
"Uruguay"|"1995"|"Cinnamon and cinnamon-tree flowers crushed or ground"|"Import"|"7000"|"1699"|"Weight in kilograms"|"1699"
"Uruguay"|"1995"|"Cinnamon and cinnamon-tree flowers crushed or ground"|"Export"|"743"|"20"|"Weight in kilograms"|"20"
"Uruguay"|"1995"|"Cloves (whole fruit, cloves and stems)"|"Import"|"3000"|"1500"|"Weight in kilograms"|"1500"
"Uruguay"|"1995"|"Cloves (whole fruit, cloves and stems)"|"Export"|"168"|"4"|"Weight in kilograms"|"4"
"Uruguay"|"1995"|"Nutmeg"|"Import"|"64000"|"23812"|"Weight in kilograms"|"23812"
"Uruguay"|"1995"|"Cardamoms"|"Import"|"11000"|"1000"|"Weight in kilograms"|"1000"
"Uruguay"|"1995"|"Anise or badian seeds"|"Import"|"33000"|"11250"|"Weight in kilograms"|"11250"
"Uruguay"|"1995"|"Anise or badian seeds"|"Export"|"405"|"14"|"Weight in kilograms"|"14"
"Uruguay"|"1995"|"Coriander seeds"|"Import"|"7000"|"8062"|"Weight in kilograms"|"8062"
"Uruguay"|"1995"|"Cumin seeds"|"Import"|"17000"|"7523"|"Weight in kilograms"|"7523"
"Uruguay"|"1995"|"Cumin seeds"|"Export"|"120"|"6"|"Weight in kilograms"|"6"
"Uruguay"|"1995"|"Caraway seeds"|"Import"|"1000"|"503"|"Weight in kilograms"|"503"
"Uruguay"|"1995"|"Fennel seeds, juniper berries"|"Import"|"7000"|"6500"|"Weight in kilograms"|"6500"
"Uruguay"|"1995"|"Ginger"|"Import"|"6000"|"3687"|"Weight in kilograms"|"3687"
"Uruguay"|"1995"|"Saffron"|"Export"|"189"|"0"|"No Quantity"|"0"
"Uruguay"|"1995"|"Saffron"|"Import"|"30000"|"12062"|"Weight in kilograms"|"12062"
"Uruguay"|"1995"|"Turmeric (curcuma)"|"Import"|"8000"|"3097"|"Weight in kilograms"|"3097"
"Uruguay"|"1995"|"Thyme and bay leaves"|"Import"|"7000"|"2750"|"Weight in kilograms"|"2750"
"Uruguay"|"1995"|"Curry"|"Import"|"6000"|"1511"|"Weight in kilograms"|"1511"
"Uruguay"|"1995"|"Mixtures of spices"|"Import"|"3000"|"0"|"No Quantity"|"0"
"Uruguay"|"1995"|"Mixtures of spices"|"Export"|"3773"|"137"|"Weight in kilograms"|"137"
"Uruguay"|"1995"|"Spices nes"|"Import"|"31000"|"13695"|"Weight in kilograms"|"13695"
"Uruguay"|"1995"|"Spices nes"|"Export"|"3028"|"97"|"Weight in kilograms"|"97"
"Uruguay"|"1994"|"Coffee, not roasted, not decaffeinated"|"Import"|"4720946"|"1910210"|"Weight in kilograms"|"1910210"
"Uruguay"|"1994"|"Coffee, roasted, not decaffeinated"|"Import"|"53914"|"14249"|"Weight in kilograms"|"14249"
"Uruguay"|"1994"|"Coffee substitutes containing coffee"|"Import"|"9697"|"1125"|"Weight in kilograms"|"1125"
"Uruguay"|"1994"|"Tea, black (fermented or partly) in packages < 3 kg"|"Import"|"483446"|"90162"|"Weight in kilograms"|"90162"
"Uruguay"|"1994"|"Tea, black (fermented or partly) in packages > 3 kg"|"Import"|"1056770"|"571068"|"Weight in kilograms"|"571068"
"Uruguay"|"1994"|"Mate"|"Import"|"28415592"|"22995362"|"Weight in kilograms"|"22995362"
"Uruguay"|"1994"|"Mate"|"Export"|"256028"|"169875"|"Weight in kilograms"|"169875"
"Uruguay"|"1994"|"Pepper of the genus Piper, whole"|"Import"|"244302"|"89702"|"Weight in kilograms"|"89702"
"Uruguay"|"1994"|"Pepper of the genus Piper, crushed or ground"|"Import"|"8909"|"1350"|"Weight in kilograms"|"1350"
"Uruguay"|"1994"|"Pepper of the genus Piper, crushed or ground"|"Export"|"1309"|"171"|"Weight in kilograms"|"171"
"Uruguay"|"1994"|"Capsicum or Pimenta, dried, crushed or ground"|"Import"|"433390"|"270926"|"Weight in kilograms"|"270926"
"Uruguay"|"1994"|"Vanilla beans"|"Import"|"12304"|"506"|"Weight in kilograms"|"506"
"Uruguay"|"1994"|"Vanilla beans"|"Export"|"4019"|"212"|"Weight in kilograms"|"212"
"Uruguay"|"1994"|"Cinnamon and cinnamon-tree flowers whole"|"Import"|"38095"|"12073"|"Weight in kilograms"|"12073"
"Uruguay"|"1994"|"Cinnamon and cinnamon-tree flowers crushed or ground"|"Import"|"1566"|"185"|"Weight in kilograms"|"185"
"Uruguay"|"1994"|"Cloves (whole fruit, cloves and stems)"|"Import"|"14062"|"10000"|"Weight in kilograms"|"10000"
"Uruguay"|"1994"|"Nutmeg"|"Import"|"44149"|"19246"|"Weight in kilograms"|"19246"
"Uruguay"|"1994"|"Anise or badian seeds"|"Import"|"49659"|"20500"|"Weight in kilograms"|"20500"
"Uruguay"|"1994"|"Coriander seeds"|"Import"|"4068"|"5000"|"Weight in kilograms"|"5000"
"Uruguay"|"1994"|"Cumin seeds"|"Import"|"8017"|"3193"|"Weight in kilograms"|"3193"
"Uruguay"|"1994"|"Fennel seeds, juniper berries"|"Import"|"15652"|"9999"|"Weight in kilograms"|"9999"
"Uruguay"|"1994"|"Ginger"|"Import"|"1603"|"550"|"Weight in kilograms"|"550"
"Uruguay"|"1994"|"Saffron"|"Import"|"30233"|"464"|"Weight in kilograms"|"464"
"Uruguay"|"1994"|"Turmeric (curcuma)"|"Import"|"1537"|"303"|"Weight in kilograms"|"303"
"Uruguay"|"1994"|"Thyme and bay leaves"|"Import"|"11717"|"4312"|"Weight in kilograms"|"4312"
"Uruguay"|"1994"|"Curry"|"Import"|"9357"|"1329"|"Weight in kilograms"|"1329"
"Uruguay"|"1994"|"Mixtures of spices"|"Import"|"7658"|"3214"|"Weight in kilograms"|"3214"
"Uruguay"|"1994"|"Mixtures of spices"|"Export"|"6313"|"273"|"Weight in kilograms"|"273"
"Uruguay"|"1994"|"Spices nes"|"Import"|"19192"|"8283"|"Weight in kilograms"|"8283"
"Uruguay"|"1994"|"Spices nes"|"Export"|"5749"|"245"|"Weight in kilograms"|"245"

